# Preset bank B: DUB drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
001 | KICK LM1 A   | kick-round    | Kick, Vintage          | DUB/KICK/lm1_kick_bd-trim-color-a-01
002 | KICK LM1 B   | kick-round    | Kick, Vintage          | DUB/KICK/lm1_kick_bd-trim-color-b-15
003 | KICK VINYL   | kick-round    | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-clean-01
004 | KICK SOFT    | kick-soft     | Kick, Soft             | DUB/KICK/vdrm_kick_bd-rock-soft-01
005 | KICK FATBOI  | kick-round    | Kick, Acoustic         | DUB/KICK/pres_kick_bd-70s-fatboi
006 | KICK DGR     | kick-round    | Kick, Dark             | DUB/KICK/vdrm_kick_bd-degraded-05
007 | BD LM1 01    | kick-dub      | Kick, Vintage          | DUB/KICK/lm1_kick_bd-trim-color-a-01
008 | BD VINYL 02  | kick-dub      | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-vari-02
009 | BD LM1 15    | kick-dub      | Kick, Vintage          | DUB/KICK/lm1_kick_bd-trim-color-b-15
010 | BD 606       | kick-dub      | Kick, Vintage          | DUB/KICK/drs_kick_bd-606
011 | BD 70S       | kick-dub      | Kick, Vintage          | DUB/KICK/pres_kick_bd-70s-fatboi
012 | BD CLUB DEAD | kick-dub      | Kick, Vintage          | DUB/KICK/pres_kick_bd-club-dead
013 | BD VNL DGR   | kick-dub      | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-degraded-05
014 | BD LM1       | kick-dub      | Kick, Vintage          | DUB/KICK/lm1_kick_bd-no-filt-trim-color-a
015 | BD VNL M44   | kick-dub      | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-m44-crunch-04
016 | BD MUNICH 01 | kick-dub      | Kick, Vintage          | DUB/KICK/drs_kick_bd-munich-01
017 | BD VNL PLATE | kick-dub      | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-fx-plate-gate-03
018 | BD VNL ROCK  | kick-dub      | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-rock-soft-01
019 | BD VINYL SIM | kick-dub      | Kick, Vintage          | DUB/KICK/drs_kick_bd-vinyl-sim
020 | BD TRIANGLE  | kick-dub      | Kick, Vintage          | DUB/KICK/pres_kick_bd-triangle
021 | BD VINYL 01  | kick-dub      | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-clean-01
