# Preset bank A: CORE: shared by every world
# slots by role: 001-064 percussion · 065-096 bass · 097-144 stabs · 145-176 keys · 177-208 lead (horns, strings,
# guitar, pedal steel) · 209-232 pads · 233-244 scapes · 245-248 noise · 249-256 fx
# slot | NAME (max 15) | recipe | tags | sample on the +Drive
001 | KICK 909 SHORT  | kick-round    | Kick, Electronic       | CORE/KICK/909_kick_bd-color-01-short-a-01
002 | KICK 909 MED    | kick-round    | Kick, Electronic       | CORE/KICK/909_kick_bd-color-03-medium-d-01
003 | KICK 808 ROUND  | kick-soft     | Kick, Soft             | CORE/KICK/808_kick_bd-mid-color-b-01
004 | KICK CR78       | kick-round    | Kick, Vintage          | CORE/KICK/cr78_kick_11
005 | KICK VINYL 606  | kick-round    | Kick, Vintage          | CORE/KICK/vdm_kick_bd-606-amp
006 | KICK SUB SOFT   | kick-soft     | Kick, Soft             | CORE/KICK/vdm_kick_bd-perkons-sub-color
010 | RIM 909         | snap-rim      | Rimshot, Electronic    | CORE/SNR/909_snr_rim-clean
011 | RIM 808 DARK    | snap-rim      | Rimshot, Dark          | CORE/SNR/808_snr_rim-shot-dark-01
012 | CLAP 909        | snap-rim      | Clap, Electronic       | CORE/SNR/909_snr_clap-color-03
013 | CLAP 808        | snap-rim      | Clap, Vintage          | CORE/SNR/808_snr_clap-color-01
014 | SNARE 909       | snap-rim      | Snare, Electronic      | CORE/SNR/909_snr_sd-color-a-01
020 | HAT 909 CL      | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/909_hat_ch-color-01
021 | HAT 909 OP      | hat-dusty     | Hi-Hat, Electronic     | CORE/HAT/909_hat_oh-color-01
022 | HAT 808 CL      | hat-dusty     | Hi-Hat, Vintage        | CORE/HAT/808_hat_ch-color-a-01
023 | HAT LM1 DARK    | hat-dusty     | Hi-Hat, Dark           | CORE/HAT/vdm_hat_hh-lm1-dark-ch
024 | HAT MPC DUST    | hat-dusty     | Hi-Hat, Vintage        | CORE/HAT/vdm_hat_hh-mpc1-dust-ch
030 | CONGA 808 MID   | hand-dry      | Percussion, Electronic | CORE/HAND/808_hand_conga-mid-color-11
031 | CONGA 808 HI    | hand-dry      | Percussion, Electronic | CORE/HAND/808_hand_conga-hi-color-11
032 | BONGO CR78      | hand-dry      | Percussion, Vintage    | CORE/HAND/vdm_hand_bongo-cr78-pop-02
033 | CONGA VINYL     | hand-dry      | Percussion, Vintage    | CORE/HAND/vdm_hand_conga-505-standard-01
040 | MARACA 808      | shake-soft    | Percussion, Soft       | CORE/SHKR/808_shkr_maracas-color-04
041 | CABASA LM1      | shake-soft    | Percussion, Vintage    | CORE/SHKR/vdm_shkr_cabasa-lm1-standard-01
042 | TAMB 626        | shake-soft    | Percussion, Vintage    | CORE/SHKR/vdm_shkr_tamb-626-standard
043 | SHAKER TOM      | shake-soft    | Percussion, Soft       | CORE/SHKR/vdm_shkr_shaker-tom-standard-02
245 | NOISE VINYL     | noise-bed     | Texture, Vintage       | CORE/NOISE/vdrm_noise_fx-static-long-01
246 | NOISE CRACKLE   | noise-bed     | Texture, Noisy         | CORE/NOISE/vdrm_noise_fx-loop-02
247 | NOISE HISS      | noise-bed     | Texture, Soft          | CORE/NOISE/sh5_noise_hissmachine-c3
248 | NOISE SYNARE    | noise-bed     | Texture, Noisy         | CORE/NOISE/syn_noise_res-00-sweep-00-a-01
249 | FX SIREN UFO    | fx-throw      | Sound Fx, Vintage      | CORE/FX/syn_fx_ufo-babies-wet-40
250 | FX UFO DRY      | fx-throw      | Sound Fx               | CORE/FX/syn_fx_ufo-babies-dry-47
251 | FX RES SWEEP    | fx-throw      | Sound Fx               | CORE/FX/syn_fx_resonance-sweep-wet-01
252 | FX TAKEOFF      | fx-reverse    | Sound Fx, Epic         | CORE/FX/syn_fx_ufo-takeoff-wet-10
253 | FX SCRATCH      | fx-throw      | Sound Fx, Vintage      | CORE/FX/vdrm_fx_scratch
254 | FX RISE         | fx-reverse    | Sound Fx               | CORE/FX/syn_fx_rise-01
