# Preset bank B: DUB: dub techno on jazz and soul
# slots by role: 001-064 percussion · 065-096 bass · 097-144 stabs · 145-176 keys · 177-208 lead (horns, strings,
# guitar, pedal steel) · 209-232 pads · 233-244 scapes · 245-248 noise · 249-256 fx
# slot | NAME (max 15) | recipe | tags | sample on the +Drive
001 | KICK LM1 A      | kick-round    | Kick, Vintage          | DUB/KICK/lm1_kick_bd-trim-color-a-01
002 | KICK LM1 B      | kick-round    | Kick, Vintage          | DUB/KICK/lm1_kick_bd-trim-color-b-15
003 | KICK VINYL      | kick-round    | Kick, Vintage          | DUB/KICK/vdrm_kick_bd-clean-01
004 | KICK SOFT ROCK  | kick-soft     | Kick, Soft             | DUB/KICK/vdrm_kick_bd-rock-soft-01
005 | KICK FATBOI     | kick-round    | Kick, Acoustic         | DUB/KICK/pres_kick_bd-70s-fatboi
006 | KICK DEGRADED   | kick-round    | Kick, Dark             | DUB/KICK/vdrm_kick_bd-degraded-05
010 | RIM VINYL       | snap-rim      | Rimshot, Vintage       | DUB/SNR/vdrm_snr_rim-clean-01
011 | RIM TUBE        | snap-rim      | Rimshot, Dark          | DUB/SNR/vdrm_snr_rim-tube-02
012 | RIM LM1         | snap-rim      | Rimshot, Vintage       | DUB/SNR/lm1_snr_rimshot-color-a-01
013 | RIM SMACK       | snap-rim      | Rimshot, Acoustic      | DUB/SNR/pres_snr_rim-acoustic-smack-02
014 | SNARE VINYL     | snap-rim      | Snare, Vintage         | DUB/SNR/vdrm_snr_sd-clean-01
015 | SNARE M44 DARK  | snap-rim      | Snare, Dark            | DUB/SNR/vdrm_snr_sd-m44-dark-01
016 | SNARE LM1       | snap-rim      | Snare, Vintage         | DUB/SNR/lm1_snr_sd-trim-color-a-01
020 | HAT VINYL       | hat-dusty     | Hi-Hat, Vintage        | DUB/HAT/vdrm_hat_ch-clean-10
021 | HAT DEGRADED    | hat-dusty     | Hi-Hat, Dark           | DUB/HAT/vdrm_hat_ch-degraded-07
022 | HAT LM1         | hat-dusty     | Hi-Hat, Vintage        | DUB/HAT/lm1_hat_ch-v1-color-decay-a-01
023 | HAT OPEN VINYL  | hat-dusty     | Hi-Hat, Vintage        | DUB/HAT/vdrm_hat_oh-clean-01
026 | RIDE 1880       | ride-wash     | Cymbal, Acoustic       | DUB/HAT/pres_hat_ride-acoustic-1880-01
027 | RIDE ROUND      | ride-wash     | Cymbal, Acoustic       | DUB/HAT/pres_hat_ride-acoustic-round-01
028 | RIDE VINYL      | ride-wash     | Cymbal, Vintage        | DUB/HAT/vdrm_hat_ride-clean-1880-01
029 | RIDE LOFI       | ride-wash     | Cymbal, Dark           | DUB/HAT/vdrm_hat_ride-lofi
030 | RIDE VERB       | ride-wash     | Cymbal, Atmosphere     | DUB/HAT/pres_hat_ride-ring-mid-verb
060 | BREAK REGGAE    | loop-slice    | Loop, Vintage          | DUB/LOOP/visc_loop_reggae-1-full-sd-break
061 | BREAK FUNKY     | loop-slice    | Loop, Vintage          | DUB/LOOP/visc_loop_funky-rock-1-full-sd-c
062 | BREAK CHOP      | loop-slice    | Loop, Vintage          | DUB/LOOP/drs_loop_break-chop-01
063 | CR78 BOOGIE     | loop-slice    | Loop, Vintage          | DUB/LOOP/cr78_loop_boogie-b
064 | BREAK 16 BEAT   | loop-slice    | Loop                   | DUB/LOOP/visc_loop_16-beat-full-clap-brea
065 | SUB SMOOTH      | bass-sub      | Bass, Soft             | DUB/BASS/juno_bass_sub-smooth-c1
066 | SUB ONLY        | bass-sub      | Bass, Dark             | DUB/BASS/juno_bass_sub-only-c1
067 | UPRIGHT         | bass-upright  | Bass, Acoustic         | DUB/BASS/mirg_bass_upright-c2
068 | SUB SYNARE      | bass-sub      | Bass, Vintage          | DUB/BASS/syn_bass_sub-long-c1
069 | RHODES BASS     | bass-upright  | Bass, Vintage          | DUB/BASS/drs_bass_rhodes-08-c1
070 | WARM BASS       | bass-upright  | Bass, Soft             | DUB/BASS/drs_bass_warm-09-c1
071 | 101 HOVER       | bass-sub      | Bass, Synth            | DUB/BASS/101_bass_hover-c1
097 | STAB DUB M9     | stab-dub      | Chord, Dark            | DUB/STAB/juno_stab_pillow-verb-dm9
098 | STAB CMIN11     | stab-dub      | Chord, Vintage         | DUB/STAB/vsyn_stab_dx200-echo-cmin11-c3
099 | STAB CMIN9 BELL | stab-dub      | Chord, Bright          | DUB/STAB/vsyn_stab_dx200-bell-hi-cmin9-c3
100 | STAB EM9B5      | stab-dub      | Chord, Soft            | DUB/STAB/juno_stab_vibe-em9b5
101 | STAB AM7        | stab-dub      | Chord, Soft            | DUB/STAB/juno_stab_cheeky-am7
102 | STAB CMIN7 EP   | stab-dub      | Chord, Vintage         | DUB/STAB/vsyn_stab_dx200-e-piano-cmin7-c2
103 | STAB M1 ORGAN   | stab-dub      | Chord, Vintage         | DUB/STAB/vsyn_stab_m1-organ-slide-ebm-ds2
104 | STAB POLYSIX 4  | stab-dub      | Chord, Vintage         | DUB/STAB/vsyn_stab_polysix-4th-d3
105 | STAB WARBLE     | stab-dub      | Chord, Vintage         | DUB/STAB/ob_stab_warble-chords-c3
110 | RHODES EBM11    | stab-rhodes   | Chord, Vintage         | DUB/STAB/drs_stab_rhodes-lofi-16-ebm11
111 | RHODES BBMAJ9   | stab-rhodes   | Chord, Vintage         | DUB/STAB/drs_stab_rhodes-lofi-13-bbmaj9
112 | RHODES EM7      | stab-rhodes   | Chord, Vintage         | DUB/STAB/drs_stab_rhodes-lofi-07-em7
113 | MINOR 7 GM      | stab-rhodes   | Chord, Soft            | DUB/STAB/drs_stab_minor-7-06-gm7
114 | MAJOR 7 EB      | stab-rhodes   | Chord, Soft            | DUB/STAB/drs_stab_major-7-04-ebmaj7
115 | UNIVERSE BBM11  | stab-rhodes   | Chord, Atmosphere      | DUB/STAB/drs_stab_universe-chord-16-bbm11
145 | RHODES SUNRISE  | keys-rhodes   | Vintage, Soft          | DUB/KEYS/s612_keys_sunrise-rhodes-c3
146 | RHODES BELL     | keys-rhodes   | Vintage, Bright        | DUB/KEYS/s612_keys_bell-rhodes-c3
147 | EPIANO 360      | keys-rhodes   | Vintage, Soft          | DUB/KEYS/360_keys_e-piano-c3
148 | EPIANO TREM     | keys-rhodes   | Vintage, Atmosphere    | DUB/KEYS/360_keys_e-piano-tremolo-c3
149 | WURLI MIRAGE    | keys-rhodes   | Vintage                | DUB/KEYS/mirg_keys_wurli-c3
150 | EPIANO MIRAGE   | keys-rhodes   | Vintage, Dark          | DUB/KEYS/mirg_keys_e-piano-c3
151 | ORGAN JAZZY     | keys-organ    | Vintage                | DUB/KEYS/dx1_keys_jazzyorgan-c3
152 | ORGAN JUNO      | keys-organ    | Synth, Vintage         | DUB/KEYS/juno_keys_organ-c3
153 | CLAV FUNK       | keys-rhodes   | Vintage, Hard          | DUB/KEYS/s612_keys_funk-the-clav-c3
154 | UPRIGHT PIANO   | keys-rhodes   | Acoustic               | DUB/KEYS/drs_keys_upright-piano-25-c3
155 | DARK PIANO      | keys-rhodes   | Acoustic, Dark         | DUB/KEYS/mirg_keys_dark-piano-c3
177 | TRUMPET DUB     | horn-throw    | Lead, Vintage          | DUB/HORN/trpt_horn_trumpets-in-dub-d4
178 | TRUMPET GHOST   | horn-throw    | Lead, Atmosphere       | DUB/HORN/trpt_horn_ghost-pop-d4
179 | TRUMPET DUSTY   | horn-throw    | Lead, Vintage          | DUB/HORN/trpt_horn_dusty-trem-g2
180 | TRUMPET DREAM   | horn-throw    | Lead, Soft             | DUB/HORN/trpt_horn_oneiric-blend-g3
181 | MUTED TRUMPET   | horn-throw    | Lead, Acoustic         | DUB/HORN/360_horn_muted-trumpet-c3
182 | SAX 360         | horn-throw    | Lead, Acoustic         | DUB/HORN/360_horn_saxophone-c3
183 | SOFT HORNS      | horn-throw    | Lead, Soft             | DUB/HORN/dx1_horn_softhorns-c3
184 | WARM TRUMPET    | horn-throw    | Lead, Vintage          | DUB/HORN/ob_horn_warm-trumpet-r-c3
185 | PERSIAN TRUMPT  | horn-throw    | Lead                   | DUB/HORN/mirg_horn_persian-trumpet-c3
188 | STRINGS FILTER  | strings-swell | Pad, Vintage           | DUB/HORN/360_horn_strings-filter-c3
189 | STRING QUARTET  | strings-swell | Pad, Acoustic          | DUB/HORN/mirg_horn_string-quartet-c3
192 | GTR ELECTRIC    | gtr-verb      | Lead, Atmosphere       | DUB/GTR/360_gtr_electric-guitar-c3
193 | GTR JAZZ        | gtr-verb      | Lead, Vintage          | DUB/GTR/360_gtr_jazz-guitar-c3
194 | GTR JAZZ VIB    | gtr-verb      | Lead, Atmosphere       | DUB/GTR/360_gtr_jazz-guitar-vibrato-c3
195 | GTR MUTED STRAT | gtr-verb      | Lead, Soft             | DUB/GTR/drs_gtr_muted-strat-18-c3
196 | GTR STRATOS     | steel-swell   | Lead, Atmosphere       | DUB/GTR/s612_gtr_stratos-guitar-c3
