# Preset bank D: DRIFT: ambient and new age
# slots by role: 001-064 percussion · 065-096 bass · 097-144 stabs · 145-176 keys · 177-208 lead (horns, strings,
# guitar, pedal steel) · 209-232 pads · 233-244 scapes · 245-248 noise · 249-256 fx
# slot | NAME (max 15) | recipe | tags | sample on the +Drive
001 | PULSE SOFT      | kick-soft     | Kick, Soft             | CORE/KICK/808_kick_bd-mid-color-b-01
002 | PULSE SUB       | kick-soft     | Kick, Soft             | CORE/KICK/vdm_kick_bd-perkons-sub-color
003 | PULSE BALL      | kick-soft     | Percussion, Soft       | DRIFT/WOOD/fnd_wood_ballkickbounce-clean
010 | TWIG            | snap-found    | Percussion, Acoustic   | DRIFT/WOOD/fnd_wood_twigsnap2-clean
011 | WATER SLAP      | snap-found    | Percussion, Soft       | DRIFT/WOOD/fnd_wood_waterslap1-clean
012 | GLASS SNAP      | snap-found    | Percussion, Bright     | DRIFT/WOOD/fnd_wood_dampglasssmashch-clean
013 | BOTTLE CLAP     | snap-found    | Clap, Acoustic         | DRIFT/WOOD/fnd_wood_bottlecrinkleclap-clean
020 | SHAKER AIR      | shake-soft    | Percussion, Soft       | CORE/SHKR/808_shkr_maracas-color-18
021 | SHAKER DUST     | shake-soft    | Percussion, Soft       | CORE/SHKR/vdm_shkr_maraca-808-standard-03
030 | CHIME FM        | metal-bell    | Metallic, Bright       | DRIFT/BELL/dx1_bell_fmbellfx-e6
031 | CHIME FM LOW    | metal-bell    | Metallic, Soft         | DRIFT/BELL/dx1_bell_fmbellfx-e3
032 | TUBULAR BELL    | metal-bell    | Metallic, Bright       | DRIFT/BELL/dx1_bell_tbells-c3
033 | BELL AIR        | metal-bell    | Metallic, Atmosphere   | DRIFT/BELL/kawa_bell_air-c3
034 | MALLET          | metal-bell    | Metallic, Soft         | DRIFT/BELL/360_bell_mallet-multi-filter-c3
040 | WATER SPLASH    | hand-room     | Percussion, Soft       | DRIFT/WOOD/fnd_wood_watersplash2-clean
041 | WINE GLASS      | metal-bell    | Metallic, Bright       | DRIFT/WOOD/fnd_wood_wineglassmetal-clean
042 | CONGA SOFT      | hand-room     | Percussion, Soft       | CORE/HAND/808_hand_conga-low-sat-a-01
050 | GARDEN FORK     | wood-click    | Percussion             | DRIFT/WOOD/fnd_wood_gardenforksnare3-clean
051 | PLASTIC BIN     | wood-click    | Percussion             | DRIFT/WOOD/fnd_wood_bigplasticbin4-clean
060 | LOOP FOREST     | loop-werp     | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_forest
061 | LOOP FROGS      | loop-werp     | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_frog-concert
065 | BASS DRONE C    | bass-drone    | Bass, Soft             | DRIFT/BASS/dsph_bass_bassdrone-c18
066 | BASS DRONE E    | bass-drone    | Bass, Dark             | DRIFT/BASS/dsph_bass_bassdrone-e06
067 | AIR BASS        | bass-sub      | Bass, Soft             | DRIFT/BASS/kawa_bass_air-c1
097 | CELESTE CHORD   | stab-bell     | Chord, Bright          | DRIFT/KEYS/dx1_keys_pristineceleste-c3
098 | FM BELL CHORD   | stab-bell     | Chord, Metallic        | DRIFT/BELL/dx1_bell_tbells-c3
099 | GLASS DROPS     | stab-bell     | Chord, Bright          | DRIFT/KEYS/kawa_keys_drops-c3
100 | HOLOGRAM        | stab-bell     | Chord, Atmosphere      | DRIFT/KEYS/kawa_keys_hologram-c3
145 | CELESTE         | keys-glass    | Bright, Soft           | DRIFT/KEYS/mirg_keys_celeste-c3
146 | WARBLE CELESTE  | keys-glass    | Vintage, Soft          | DRIFT/KEYS/dx1_keys_warbleceleste-c3
147 | STAR PIANO      | keys-glass    | Bright                 | DRIFT/KEYS/dx1_keys_starpiano-c3
148 | VIBES           | keys-glass    | Metallic, Soft         | DRIFT/KEYS/360_keys_vibes-c3
149 | VIBRAPHONE SH5  | keys-glass    | Synth, Soft            | DRIFT/KEYS/sh5_keys_vibraphone-c3
150 | DREAMLIKE       | keys-glass    | Atmosphere             | DRIFT/KEYS/dx1_keys_dreamlike-c3
177 | CLARINET        | flute-breath  | Lead, Acoustic         | DRIFT/HORN/mirg_horn_clarinet-c3
178 | FLUTE FILTER    | flute-breath  | Lead, Soft             | DRIFT/HORN/360_horn_flute-filter-c3
179 | STRINGS WARM    | strings-swell | Pad, Soft              | DRIFT/HORN/kawa_horn_warm-strings-c3
180 | STRINGS ANALOG  | strings-swell | Pad, Vintage           | DRIFT/HORN/kawa_horn_analog-strings-c3
181 | STRINGS CHORUS  | strings-swell | Pad, Atmosphere        | DRIFT/HORN/360_horn_strings-chorus-c3
184 | VOICES          | strings-swell | Lead, Atmosphere       | DRIFT/VOX/kawa_vox_voices-c3
185 | HELLO VOICE     | flute-breath  | Lead, Soft             | DRIFT/VOX/kawa_vox_hello-c3
186 | BREATH V        | flute-breath  | Lead, Soft             | DRIFT/VOX/dx1_vox_breathv-c3
192 | GTR WARP        | gtr-verb      | Lead, Atmosphere       | DRIFT/GTR/mirg_gtr_warp-guitar-c3
193 | GTR CHORUS      | gtr-verb      | Lead, Soft             | DRIFT/GTR/mirg_gtr_acoustic-guitar-chor-c3
