# Preset bank C: RITE: tribal and shamanic
# slots by role: 001-064 percussion · 065-096 bass · 097-144 stabs · 145-176 keys · 177-208 lead (horns, strings,
# guitar, pedal steel) · 209-232 pads · 233-244 scapes · 245-248 noise · 249-256 fx
# slot | NAME (max 15) | recipe | tags | sample on the +Drive
001 | LOW FLOOR TOM   | kick-felt     | Tom, Acoustic          | RITE/KICK/vdrm_kick_tom-clean-flr-01
002 | LOW FLOOR HARD  | kick-felt     | Tom, Hard              | RITE/KICK/vdrm_kick_tom-flr-hard-02
003 | LOW HALL TOM    | kick-felt     | Tom, Acoustic          | RITE/KICK/pres_kick_tom-hall-mid-01
004 | LOW EKKO        | kick-felt     | Kick, Vintage          | RITE/KICK/ekko_kick_bass-drum-color-v1
005 | LOW ROLLING     | kick-felt     | Tom, Vintage           | RITE/KICK/ekko_kick_rolling-drum-color-v1
006 | LOW TOM SUB     | kick-felt     | Tom, Dark              | RITE/KICK/vdrm_kick_tom-sub-02
010 | DJEMBE SLAP     | snap-slap     | Percussion, Acoustic   | RITE/HAND/pres_hand_djembe-hi-flam
011 | DJEMBE HAND     | snap-slap     | Percussion, Acoustic   | RITE/HAND/pres_hand_djembe-01
012 | DJEMBE SLIDE    | hand-room     | Percussion, Acoustic   | RITE/HAND/pres_hand_djembe-slide
013 | CONGA SLAP      | snap-slap     | Percussion, Acoustic   | RITE/HAND/pres_hand_conga-slap-01
020 | SHAKER SOFT     | shake-soft    | Percussion, Soft       | RITE/SHKR/pres_shkr_shaker-soft
021 | SHAKER VINYL    | shake-soft    | Percussion, Vintage    | RITE/SHKR/vdrm_shkr_shaker-clean-attack
022 | SHAKER TAPE     | shake-soft    | Percussion, Vintage    | RITE/SHKR/vdrm_shkr_shaker-vari-tape-09
023 | CABASA          | shake-soft    | Percussion             | RITE/SHKR/lm1_shkr_cabasa-color-a-01
024 | TAMB LITE       | shake-soft    | Percussion, Soft       | RITE/SHKR/pres_shkr_tamb-lite
025 | GUIRO           | shake-soft    | Percussion, Acoustic   | RITE/SHKR/vdrm_shkr_guiro-clean-01
030 | AGOGO HI        | metal-bell    | Cowbell, Metallic      | RITE/BELL/visc_bell_agogo-hi-01
031 | AGOGO LO        | metal-bell    | Cowbell, Metallic      | RITE/BELL/visc_bell_agogo-lo-05
032 | BELL KNOCK      | metal-bell    | Metallic, Acoustic     | RITE/BELL/pres_bell_knock
033 | BELL LO         | metal-bell    | Metallic               | RITE/BELL/pres_bell_lo
034 | TRIANGLE        | metal-bell    | Metallic, Bright       | RITE/BELL/vdrm_bell_triangle-clean-01
035 | COWBELL         | metal-bell    | Cowbell, Vintage       | RITE/BELL/vdrm_bell_cowbell-clean-01
036 | POT BELL        | metal-bell    | Metallic, Acoustic     | RITE/BELL/fnd_bell_potinnerside-clean
040 | UDU TONE        | hand-room     | Percussion, Acoustic   | RITE/HAND/pres_hand_udu-tone-01
041 | UDU COLOR       | hand-room     | Percussion, Vintage    | RITE/HAND/pres_hand_udu-color-02
042 | UDU FUZZ        | hand-room     | Percussion, Noisy      | RITE/HAND/pres_hand_udu-fuzz-01
043 | CONGA HI        | hand-dry      | Percussion, Acoustic   | RITE/HAND/pres_hand_conga-hi-01
044 | CONGA LO        | hand-dry      | Percussion, Acoustic   | RITE/HAND/pres_hand_conga-lo-01
045 | CONGA BEND      | hand-room     | Percussion             | RITE/HAND/pres_hand_conga-bend
046 | BONGO           | hand-dry      | Percussion, Vintage    | RITE/HAND/visc_hand_bongo-04
047 | BONGO MUTED     | hand-dry      | Percussion, Soft       | RITE/HAND/visc_hand_bongo-muted-01
048 | CONGA SP1200    | hand-dry      | Percussion, Vintage    | RITE/HAND/sp12_hand_conga-1-01
050 | CLAVE           | wood-click    | Percussion, Acoustic   | RITE/WOOD/pres_wood_clave-basic
051 | CLAVE SOFT      | wood-click    | Percussion, Soft       | RITE/WOOD/pres_wood_clave-soft
052 | WOODBLOCK       | wood-click    | Percussion, Acoustic   | RITE/WOOD/pres_wood_woodblock-soft
053 | STICKS          | wood-click    | Percussion             | RITE/WOOD/vdrm_wood_sticks-clean-01
054 | BLOCK EKKO      | wood-click    | Percussion, Vintage    | RITE/WOOD/ekko_wood_block-1-color-v1
055 | WOOD TOM        | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_woodtomfloor-clean
060 | LOOP 6 8 EKKO   | loop-slice    | Loop, Vintage          | RITE/LOOP/ekko_loop_12-step-full-a-6-8-100
061 | LOOP WARRIOR    | loop-slice    | Loop, Percussion       | RITE/LOOP/808l_loop_tom-combo-warrior-128
062 | LOOP CONGA      | loop-slice    | Loop, Percussion       | RITE/LOOP/808l_loop_conga-combo-define-120
063 | LOOP CLAVE      | loop-slice    | Loop, Vintage          | RITE/LOOP/ekko_loop_clave-boss-color-120
064 | LOOP SAMBA TOP  | loop-slice    | Loop, Percussion       | RITE/LOOP/visc_loop_samba-3-top-sd-perc-hi
065 | BASS DRONE SUB  | bass-drone    | Bass, Dark             | RITE/BASS/syn_bass_clean-sub-c1
066 | BASS PLANET     | bass-drone    | Bass, Synth            | RITE/BASS/sh5_bass_deepplanet-c1
067 | BOX CELLO       | bass-upright  | Bass, Acoustic         | RITE/BASS/dx1_bass_boxcello-c2
097 | MARIMBA         | stab-pluck    | Acoustic, Soft         | RITE/STAB/dx1_stab_marimba-c3
098 | STEEL DRUM      | stab-pluck    | Metallic, Bright       | RITE/STAB/dx1_stab_steeldrums-c3
099 | JAZZ HARP       | stab-pluck    | Acoustic, Bright       | RITE/STAB/kawa_stab_jazz-harp-c3
100 | BANJO           | stab-pluck    | Acoustic               | RITE/STAB/dx1_stab_oldbanjo-c3
101 | MALLET          | stab-pluck    | Metallic, Soft         | RITE/STAB/360_stab_mallet-multi-filter-c2
145 | NYLON GUITAR    | stab-pluck    | Acoustic, Soft         | RITE/STAB/360_stab_nylon-guitar-c3
146 | MARIMBA ROOM    | keys-glass    | Acoustic, Atmosphere   | RITE/STAB/dx1_stab_marimba-c3
177 | FLUTE 360       | flute-breath  | Lead, Acoustic         | RITE/HORN/360_horn_flute-c3
178 | PAN FLUTE       | flute-breath  | Lead, Soft             | RITE/HORN/dx1_horn_panflute-c3
179 | FLUTE MIRAGE    | flute-breath  | Lead, Vintage          | RITE/HORN/mirg_horn_flute-c3
180 | FLUTE RESONANT  | flute-breath  | Lead, Synth            | RITE/HORN/sh5_horn_resonantflute-c3
181 | ENGLISH HORN    | flute-breath  | Lead, Acoustic         | RITE/HORN/360_horn_english-c3
182 | CELLO LOW       | strings-swell | Lead, Dark             | RITE/HORN/360_horn_cello-c2
183 | CHANT VINTAGE   | scape-stretch | Lead, Vintage          | RITE/VOX/drs_vox_vintage-chant-02
184 | BREATH          | flute-breath  | Lead, Soft             | RITE/VOX/mirg_vox_breath-c3
209 | DRONE DARK      | pad-drone     | Pad, Dark              | RITE/SCAPE/modc_scape_darkmodulator-drone-2
210 | DRONE DARK 2    | pad-drone     | Pad, Dark              | RITE/SCAPE/modc_scape_darkmodulator-drone-4
211 | DRONE MOVING    | pad-drone     | Pad, Atmosphere        | RITE/SCAPE/syn_scape_moving-drone-wet-01
233 | SCAPE VORTEX    | scape-werp    | Texture, Noisy         | RITE/SCAPE/fnd_scape_woodtom1vortex
234 | SCAPE MOVING    | scape-werp    | Texture, Atmosphere    | RITE/SCAPE/syn_scape_moving-drone-dry-01
235 | SCAPE CHANT     | scape-stretch | Texture, Vintage       | RITE/VOX/drs_vox_vinyl-reverse-chant-05
236 | SCAPE METAL     | scape-werp    | Texture, Metallic      | RITE/SCAPE/fnd_scape_metalhatclosedvortex
245 | NOISE BOTTLE    | noise-bed     | Texture, Noisy         | RITE/SCAPE/fnd_scape_bottlecrinkleclapvorte
249 | FX DRONE SWELL  | fx-reverse    | Sound Fx, Atmosphere   | RITE/SCAPE/syn_scape_moving-drone-wet-06
